Timestamp,Rank,Coin Name,Symbol,Price,24h Change,Market Cap
2026-09-08 17:43:44,8,TRON,TRX,$0.3384,0.59%,$32.12B
2026-09-08 17:43:44,9,Hyperliquid,HYPE,$83.05,5.44%,$20.92B
2026-09-08 17:43:44,10,Zcash,ZEC,"$1,154.92",3.29%,$19.47B
2026-09-08 20:19:09,1,Bitcoin,BTC,"$78,513.08",0.68%,$1.57T
2026-09-08 20:19:09,2,Ethereum,ETH,"$2,485.07",0.07%,$303.25B
2026-09-08 20:19:09,3,Tether,USDT,$0.9998,0.01%,$183.4B
2026-09-08 20:19:09,4,BNB,BNB,$750.13,0.99%,$99.88B
2026-09-08 20:19:09,5,XRP,XRP,$1.41,1.49%,$88.82B
2026-09-08 20:19:09,6,USDC,USDC,$0.9999,0.00%,$74.2B
2026-09-08 20:19:09,7,Solana,SOL,$103.27,0.94%,$60.53B
2026-09-08 20:19:09,8,TRON,TRX,$0.3394,1.32%,$32.22B
2026-09-08 20:19:09,9,Hyperliquid,HYPE,$83.58,3.34%,$21.05B
2026-09-08 20:19:09,10,Zcash,ZEC,"$1,168.85",0.30%,$19.7B
2026-09-08 20:22:15,1,Bitcoin,BTC,"$78,506.38",0.74%,$1.57T
2026-09-08 20:22:15,2,Ethereum,ETH,"$2,483.03",0.08%,$303B
2026-09-08 20:22:15,3,Tether,USDT,$0.9996,0.02%,$183.37B
2026-09-08 20:22:15,4,BNB,BNB,$750.65,1.04%,$99.95B
2026-09-08 20:22:15,5,XRP,XRP,$1.41,1.52%,$88.89B
2026-09-08 20:22:15,6,USDC,USDC,$0.9998,0.01%,$74.19B
2026-09-08 20:22:15,7,Solana,SOL,$103.34,0.95%,$60.57B
2026-09-08 20:22:15,8,TRON,TRX,$0.3394,1.35%,$32.22B
2026-09-08 20:22:15,9,Hyperliquid,HYPE,$83.53,3.38%,$21.04B
2026-09-08 20:22:15,10,Zcash,ZEC,"$1,174.20",0.45%,$19.79B
